Category,Brand,Model,Storage,Colour,RAM,Processor,Condition,ConditionDescription,BatteryHealth,Price,OriginalMsp,BillAvailable,BillAmount,WarrantyApplicable,OriginalBox,ChargerIncluded,CableIncluded,Featured,PriceDrop,StockTag,ImageUrl,AdditionalImageUrl
Phones,Samsung,S26 Ultra,256GB,Black / White / Cobalt Violet,12GB,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,107000,,true,,true,true,true,true,false,false,CK-S26U-256,,
Phones,Samsung,S26 Ultra,512GB,Black / White / Cobalt Violet,12GB,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,113000,,true,,true,true,true,true,false,false,CK-S26U-512,,
Phones,Apple,iPhone 16,128GB,Ultramarine / Black / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,57999,,true,,true,true,true,true,false,false,CK-IP16-128-W,,
Phones,Apple,iPhone 16,128GB,Ultramarine / Black / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,52999,,false,,false,true,true,true,false,false,CK-IP16-128-O,,
Phones,Apple,iPhone 16,256GB,Black,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,57999,,false,,false,true,true,true,false,false,CK-IP16-256,,
Phones,Google,Pixel 10 Pro Fold,256GB,Moonstone,16GB,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,118000,,true,,true,true,true,true,false,false,CK-P10F-256,,
Phones,Apple,iPhone 16 Plus,128GB,Ultramarine / Black,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,58999,,false,,false,true,true,true,false,false,CK-IP16P-128,,
Phones,Apple,iPhone 16 Pro,128GB,Natural / Black / Desert / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,78999,,false,,false,true,true,true,false,false,CK-IP16PRO-128,,
Phones,Apple,iPhone 16 Pro,256GB,Natural / Black / Desert / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,84999,,false,,false,true,true,true,false,false,CK-IP16PRO-256,,
Phones,Apple,iPhone 16 Pro,512GB,Natural / Black / Desert / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,89999,,false,,false,true,true,true,false,false,CK-IP16PRO-512,,
Phones,Samsung,Galaxy Flip 7,512GB,Blue Shadow / Jet Black,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,61999,,false,,false,true,true,true,false,false,CK-FLIP7-OUT,,
Phones,Samsung,Galaxy Flip 7,512GB,Blue Shadow / Jet Black,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,64999,,true,,true,true,true,true,false,false,CK-FLIP7-W,,
Phones,Apple,iPhone 16 Pro Max,256GB,Natural / Black / Desert / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,89999,,false,,false,true,true,true,false,false,CK-IP16PM-256,,
Phones,Apple,iPhone 16 Pro Max,512GB,Natural / Black / Desert / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,97999,,false,,false,true,true,true,false,false,CK-IP16PM-512,,
Phones,Apple,iPhone 16 Pro Max,1TB,Natural / Black / Desert / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,104999,,false,,false,true,true,true,false,false,CK-IP16PM-1TB,,
Phones,Apple,iPhone 15,128GB,Pink / Black / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,42999,,false,,false,true,true,true,false,false,CK-IP15-128,,
Phones,Apple,iPhone 15,128GB,Pink / Black / White,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,42999,,false,,false,true,true,true,false,false,CK-IP15-128-2,,
Phones,Samsung,S25 Edge,512GB,Titanium Silver,,,A+,DON'T COMPARE WITH FAKE BOX OR KIT UNITS ! ASLI ASLI HI HOTA HAI,,67999,,false,,false,true,true,true,false,false,CK-S25E-512,,
